PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
47.0,TOTAL MISDEMEANOR OFFENSES,8090.0,7133.0,7428.0,6777.0,6411.0,6232.0,6290.0,7169.0,7351.0,7541.0,7677.0,6892.0,6954.0,6019,6130,5968,6170,5908,5573
48.0,TOTAL MISDEMEANOR OFFENSES,7147.0,6309.0,5591.0,5545.0,5835.0,5423.0,5672.0,6986.0,6262.0,6401.0,6673.0,6062.0,6347.0,6572,6311,5543,5232,4980,4563
49.0,TOTAL MISDEMEANOR OFFENSES,4424.0,4956.0,4572.0,4282.0,4068.0,3817.0,4184.0,4531.0,4337.0,4683.0,4928.0,4549.0,4731.0,5348,5139,4394,4292,4260,3969
50.0,TOTAL MISDEMEANOR OFFENSES,3443.0,2916.0,2911.0,2595.0,2682.0,2591.0,2772.0,3141.0,3225.0,3477.0,2910.0,3116.0,2814.0,2547,2695,2748,2817,2533,2266
52.0,TOTAL MISDEMEANOR OFFENSES,9028.0,7840.0,7885.0,7483.0,7167.0,7289.0,7134.0,7775.0,8017.0,8481.0,10371.0,9461.0,8885.0,8143,8330,7115,6602,6845,6232
60.0,TOTAL MISDEMEANOR OFFENSES,6383.0,6039.0,6135.0,4886.0,4755.0,4760.0,4561.0,4832.0,5015.0,5016.0,5285.0,4670.0,4428.0,4441,4407,4474,4335,4287,3911
61.0,TOTAL MISDEMEANOR OFFENSES,5089.0,4959.0,4897.0,4992.0,4578.0,4268.0,4440.0,4779.0,4662.0,4541.0,4216.0,4018.0,3887.0,3355,3517,3373,3278,3442,3154
62.0,TOTAL MISDEMEANOR OFFENSES,4277.0,3985.0,4016.0,3697.0,3745.0,3948.0,4258.0,4078.0,4064.0,3973.0,3467.0,3511.0,3334.0,3240,3595,3461,3251,3143,2827
63.0,TOTAL MISDEMEANOR OFFENSES,3551.0,3814.0,3735.0,3424.0,3498.0,3348.0,3437.0,3277.0,3379.0,3310.0,3282.0,3363.0,3104.0,2763,2764,2821,2776,2520,2342
66.0,TOTAL MISDEMEANOR OFFENSES,3831.0,3818.0,3694.0,3505.0,3165.0,3122.0,3107.0,2947.0,3140.0,3091.0,3040.0,2868.0,2800.0,2758,2594,2618,2560,2392,2162
67.0,TOTAL MISDEMEANOR OFFENSES,8004.0,8949.0,7619.0,7119.0,6372.0,6425.0,6400.0,6372.0,5926.0,6239.0,6061.0,6072.0,6098.0,5928,5714,5380,5113,5188,4917
68.0,TOTAL MISDEMEANOR OFFENSES,3385.0,3525.0,3315.0,2862.0,2938.0,2766.0,3041.0,3276.0,3296.0,3504.0,3659.0,3130.0,3261.0,3205,2887,2847,3252,3045,2410
69.0,TOTAL MISDEMEANOR OFFENSES,3989.0,3995.0,3284.0,2854.0,3002.0,3051.0,3269.0,3079.0,3133.0,3078.0,3148.0,3229.0,3379.0,3019,2921,2831,2732,2642,2324
70.0,TOTAL MISDEMEANOR OFFENSES,7047.0,6583.0,5785.0,5981.0,5693.0,5541.0,5562.0,5709.0,5510.0,5457.0,5773.0,5719.0,5521.0,5310,4938,4539,4414,4486,4295
71.0,TOTAL MISDEMEANOR OFFENSES,6391.0,6411.0,6161.0,5685.0,4997.0,5354.0,5191.0,5288.0,4646.0,4997.0,5418.0,5423.0,4706.0,4441,4516,4253,4279,3954,3471
72.0,TOTAL MISDEMEANOR OFFENSES,5328.0,5137.0,4885.0,4661.0,4070.0,4082.0,4387.0,4352.0,4109.0,3930.0,4206.0,3835.0,4025.0,3697,3666,3455,3310,3521,3265
73.0,TOTAL MISDEMEANOR OFFENSES,7078.0,7054.0,6797.0,7430.0,6904.0,6846.0,7699.0,8230.0,8515.0,9925.0,10197.0,10650.0,9614.0,7877,7047,6534,6132,5591,5229
75.0,TOTAL MISDEMEANOR OFFENSES,15241.0,13491.0,11562.0,11531.0,11396.0,11362.0,10678.0,11590.0,11844.0,13754.0,13927.0,14025.0,13598.0,12510,12060,10564,9295,8785,7892
76.0,TOTAL MISDEMEANOR OFFENSES,3514.0,3210.0,3160.0,3082.0,2569.0,2777.0,2498.0,2308.0,2247.0,2173.0,2060.0,2002.0,2338.0,1845,1766,1710,1893,1776,1592
77.0,TOTAL MISDEMEANOR OFFENSES,7969.0,6555.0,5338.0,5619.0,5302.0,5586.0,5724.0,6009.0,5997.0,6046.0,6319.0,6172.0,5657.0,5397,4809,3942,3864,3833,3543
78.0,TOTAL MISDEMEANOR OFFENSES,2695.0,2595.0,2398.0,2288.0,2167.0,2222.0,2084.0,2052.0,2097.0,1886.0,1997.0,2003.0,2348.0,2783,2739,2655,2662,2572,2517
79.0,TOTAL MISDEMEANOR OFFENSES,7376.0,6714.0,6438.0,6375.0,6161.0,6510.0,6327.0,7161.0,6832.0,7589.0,7191.0,6993.0,6606.0,6236,5299,4761,4582,4451,4242
81.0,TOTAL MISDEMEANOR OFFENSES,5060.0,4481.0,4139.0,3960.0,4124.0,3914.0,4093.0,4554.0,4664.0,5212.0,6042.0,5228.0,5170.0,4808,4183,3657,3449,3028,2700
83.0,TOTAL MISDEMEANOR OFFENSES,8031.0,6616.0,6004.0,5995.0,5541.0,6000.0,5711.0,5635.0,5696.0,5949.0,5713.0,6061.0,5818.0,5195,4704,4191,4046,3956,3843
84.0,TOTAL MISDEMEANOR OFFENSES,5206.0,4515.0,3348.0,3348.0,3309.0,3276.0,3441.0,3717.0,3723.0,3961.0,4215.0,4024.0,3833.0,3771,3750,3558,3906,3677,3253
88.0,TOTAL MISDEMEANOR OFFENSES,4766.0,4486.0,3729.0,3525.0,3001.0,3222.0,3442.0,3377.0,3029.0,3010.0,3317.0,3536.0,3752.0,2810,2942,2421,2502,2281,2038
90.0,TOTAL MISDEMEANOR OFFENSES,4564.0,4512.0,4611.0,4278.0,4039.0,4279.0,4239.0,4178.0,4779.0,4493.0,4703.0,5196.0,4874.0,4857,4676,4544,4357,4039,3531
94.0,TOTAL MISDEMEANOR OFFENSES,2128.0,2167.0,1894.0,1958.0,1898.0,1889.0,1792.0,1670.0,1899.0,1920.0,1933.0,2123.0,2336.0,2357,2444,2268,2310,2387,2074
100.0,TOTAL MISDEMEANOR OFFENSES,1691.0,1630.0,1785.0,1943.0,1829.0,1596.0,1668.0,1686.0,1817.0,1739.0,1834.0,1612.0,1572.0,1494,1889,1658,1495,1545,1306
