Month,Brooklyn,Manhattan,NYC,Queens
2017-12-01,2545.0,3131.0,2759.0,2108.0
2018-01-01,2542.0,3123.0,2754.0,2107.0
2018-02-01,2543.0,3127.0,2757.0,2109.0
2018-03-01,2548.0,3133.0,2763.0,2116.0
2018-04-01,2556.0,3144.0,2772.0,2121.0
2018-05-01,2567.0,3164.0,2787.0,2129.0
2018-06-01,2578.0,3181.0,2801.0,2139.0
2018-07-01,2588.0,3196.0,2814.0,2149.0
2018-08-01,2595.0,3211.0,2825.0,2159.0
2018-09-01,2600.0,3220.0,2832.0,2163.0
2018-10-01,2599.0,3220.0,2833.0,2165.0
