PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
48.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1849.0,1747.0,1272.0,1197.0,1456.0,1214.0,1212.0,1454.0,1482.0,1631.0,1602.0,1297.0,1274.0,1208,941,992,1133,930,759
49.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,645.0,667.0,617.0,433.0,443.0,378.0,466.0,503.0,473.0,484.0,561.0,407.0,500.0,429,553,511,601,504,507
50.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,491.0,472.0,365.0,420.0,405.0,432.0,405.0,566.0,528.0,572.0,386.0,382.0,387.0,344,377,397,379,379,319
52.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,2101.0,1665.0,1346.0,1368.0,1540.0,1571.0,1732.0,1971.0,1843.0,1803.0,1633.0,1448.0,1571.0,1439,1293,1134,1057,1300,1072
60.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1121.0,937.0,809.0,679.0,910.0,953.0,1027.0,977.0,886.0,872.0,864.0,786.0,702.0,662,757,938,778,675,859
61.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,853.0,798.0,913.0,899.0,833.0,824.0,809.0,795.0,729.0,729.0,594.0,525.0,634.0,681,665,581,539,602,570
62.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,605.0,605.0,459.0,393.0,534.0,665.0,691.0,722.0,705.0,555.0,467.0,525.0,522.0,527,561,721,688,667,546
63.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,429.0,526.0,414.0,385.0,559.0,443.0,415.0,467.0,505.0,301.0,351.0,424.0,547.0,499,423,448,505,492,483
66.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,473.0,489.0,425.0,300.0,437.0,449.0,430.0,413.0,346.0,318.0,361.0,366.0,390.0,377,350,383,413,391,362
67.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1457.0,1582.0,1325.0,1032.0,1278.0,1336.0,1351.0,1468.0,1276.0,1173.0,1158.0,1199.0,1194.0,1262,1280,1394,1674,1436,1552
68.0,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,617.0,558.0,467.0,353.0,518.0,475.0,557.0,642.0,454.0,437.0,379.0,392.0,405.0,474,506,478,487,677,790
